title,author,link,date,edition,edition_link,resumo_link,pdf_link,fonte,termo
Prototipação e validação multifásica de instrumento avaliativo para ensino de jovens e adultos | Prototyping and multiphasic validation of an evaluation tool for youth and adult education,"Neila Newdirley Câmara Pinto, Sheila Cordeiro Mota",https://www.infodesign.org.br/infodesign/article/view/819,2020-11-25,,,,,InfoDesign,design thinking
Representações Gráficas de Síntese (RGS): em busca de uma elucidação do conceito | Graphic Representations for Synthesis (GRS): in search of a conceptual elucidation,"Stephania Padovani, Juliana Bueno, Juliana Ferreira de Oliveira",https://www.infodesign.org.br/infodesign/article/view/738,2020-04-30,,,,,InfoDesign,design thinking
Patricia Wright [Universidade de Cardiff – País de Gales /Reino Unido],Stephania Padovani,https://www.infodesign.org.br/infodesign/article/view/19,2010-09-15,,,,,InfoDesign,design thinking
A representação gráfica de modelos conceituais de jogos sérios | Graphic representation of conceptual model of serious games,"Luciane Maria Fadel, Arthur Stofella",https://www.infodesign.org.br/infodesign/article/view/840,2020-12-31,,,,,InfoDesign,design thinking
Reflections and advices on typography,Regina Cunha Wilke,https://www.infodesign.org.br/infodesign/article/view/34,2010-09-20,,,,,InfoDesign,design thinking
Apelos visuais nas embalagens de cereais matinais para o público infantil: análise e piloto de entrevistas | Visual appeals on breakfast cereal packages for children: analysis and interview pilot,"Amanda Rutiquewiski Gomes, Carla Galvão Spinillo",https://www.infodesign.org.br/infodesign/article/view/791,2020-11-25,,,,,InfoDesign,design thinking
USABILITY STUDY ON THE INTERFACE OF AN ARTIFICIAL INTELIGENCE SYSTEM FOR CREATIVITY SUPPORT,"Luiz Fernando de Carvalho Botega, Jonny Carlos da Silva, Gisele Raulik Murphy",https://www.revistas.udesc.br/index.php/hfd/article/view/2316796307132018041,16-05-2018,,,,,Human Factors in Design,inteligência artificial
Inovação com dadosa experiência do usuário com sistemas baseados em inteligência artificial,"Cinthia Ruiz, Manuela Quaresma",https://www.revistas.udesc.br/index.php/hfd/article/view/18511,09-12-2021,,,,,Human Factors in Design,inteligência artificial
Avaliação de experiência de uma carteira digital usando um método baseado em Autoconceito,"Walter Correia, Alex Sandro Gomes, Fabio Campos, Fabio Silva",https://www.revistas.udesc.br/index.php/hfd/article/view/23308,12-09-2024,,,,,Human Factors in Design,design thinking
Abordagens metodológicas do design emocional: uma revisão bibliográfica sistemática.,"Claudia Crepaldi, Célio Teodorido dos Santos",https://www.revistas.udesc.br/index.php/hfd/article/view/2316796307142018074,24-10-2018,,,,,Human Factors in Design,design thinking
"Design e sociedade: uma reflexão sobre acessibilidade, interação e inclusão","Willian Amphilóquio, João Eduardo Chagas Sobral",https://www.revistas.udesc.br/index.php/hfd/article/view/2316796307132018165,16-05-2018,,,,,Human Factors in Design,design thinking
